[0.00s -> 2.16s]  All right, guys.
[4079.00s -> 4083.12s]  like, kind of suffer out on a trail or like, you know, go do a hard race and like
[4083.44s -> 4087.52s]  try to win this and like, dude, I'm super willing to do that, dude.
[4087.52s -> 4093.08s]  Like it's everything I do through running and through, uh, just like life
[4093.08s -> 4095.12s]  is like to make my parents proud.
[4095.16s -> 4096.52s]  That is my ultimate goal.
[4096.52s -> 4099.88s]  Like I'll figure out my life like down the road, but like, I just want to make
[4099.88s -> 4100.88s]  them proud right now.
[4100.92s -> 4101.08s]  Yeah.
[4101.08s -> 4107.44s]  I think that's like the best pivot from, and that's the best way to exemplify
[4107.44s -> 4108.24s]  like what you're talking about.
[4108.24s -> 4114.00s]  We were just talking about you and saddles and you know, all the accolades
[4114.04s -> 4119.36s]  and then that quickly pivoted, you know, just with one question or one mental
[4119.36s -> 4126.12s]  reflection there that you had to really like, really speaking to your true why,
[4126.20s -> 4126.80s]  you know what I mean?
[4126.80s -> 4130.40s]  And like who you are as a person, not just like on these races, you know?
[4130.40s -> 4134.96s]  And so, I mean, I don't think there's any better way to kind of close out a
[4134.96s -> 4137.28s]  podcast than with what you just said.
[4137.32s -> 4141.92s]  You know, I think that was, was absolutely beautiful, absolutely raw and honest.
[4142.40s -> 4147.76s]  And really just kind of like, I think punctuates an incredible podcast and
[4147.76s -> 4149.20s]  introduction to who you are.
[4149.20s -> 4153.68s]  So anything else you want to, to leave on the recording or anything you want to
[4153.68s -> 4157.28s]  say of appreciation to anybody else or, you know, take a couple of minutes and
[4157.28s -> 4158.28s]  close this thing up for us.
[4158.68s -> 4159.00s]  Yeah.
[4159.28s -> 4162.56s]  I would say if you're listening to this, like, you know, thank you for listening
[4162.56s -> 4166.32s]  to the podcast and just all my friends and family, like who have supported me
[4166.56s -> 4170.96s]  since I started this journey, like beyond grateful, like it's going to pay out one
[4170.96s -> 4176.08s]  day, it's going to pay out, like I'll be winning these big races and I'll be
[4176.08s -> 4184.88s]  putting the Ramas family and all my friends, like on the map, you know, like
[4184.92s -> 4187.48s]  I want everybody around me to like live a good life.
[4187.52s -> 4195.00s]  So whatever that looks like to you, like, I want you guys to like achieve that.
[4195.00s -> 4200.00s]  Like, you know, even for like people that necessarily like have a bad like viewing
[4200.00s -> 4203.96s]  of me, like I want everybody to be happy because like I spend so much time being
[4203.96s -> 4210.04s]  unhappy, you know, even still today, like, yeah, I still struggle with that.
[4210.04s -> 4214.32s]  So, uh, yeah, I just want people to be happy.
[4214.32s -> 4217.04s]  So however you find that, like go do it.
[4218.64s -> 4223.44s]  And yeah, I love everybody that listens to this podcast.
[4223.44s -> 4225.76s]  I love everybody like, you know, around me.
[4225.92s -> 4233.28s]  So I'm super fortunate, but, uh, we do have a little pre-sale going on next week.
[4233.52s -> 4236.56s]  What's that hat that you're wearing?
[4238.08s -> 4240.04s]  That's the brand that's going to be putting it out.
[4240.04s -> 4241.60s]  It's going to be like a little saddle shirt.
[4241.96s -> 4242.32s]  It's cool.
[4242.32s -> 4249.04s]  A little like, uh, I guess just a little reward that like I talked to, uh, can't
[4249.04s -> 4251.88s]  buy cool suits, uh, can't buy cool studios.
[4251.88s -> 4254.40s]  Like I talked to him and I was just like, let's make a shirt.
[4254.40s -> 4255.96s]  We got that coming out next week.
[4255.96s -> 4257.96s]  So, yeah, I know I'm going to, yeah.
[4257.96s -> 4259.92s]  So I talked to Malcolm again, founder.
[4259.92s -> 4260.84s]  He was on the podcast.
[4260.84s -> 4266.04s]  Uh, so yeah, I saw that saw the, the, the design is going to be sick.
[4266.04s -> 4270.92s]  Um, you know, and yeah, I mean, let, let people say what they want about it.
[4270.92s -> 4274.44s]  You know, I think when you go out and you, you win a race and you know, you're
[4274.44s -> 4279.32s]  just trying to allow people to, to celebrate you, support you.
[4279.44s -> 4281.92s]  I think merchandise is one of the most punk rock ways to do it.
[4281.96s -> 4282.52s]  You know what I mean?
[4282.56s -> 4286.72s]  It's like no different than going and seeing your favorite band, you know, and
[4286.72s -> 4289.36s]  you head over to the merch booth because you know, they're not making much money.
[4289.52s -> 4293.20s]  And so you buy the shirts, you buy this stuff and like that goes directly into,
[4293.44s -> 4294.96s]  you know, helping them get to the next stop.
[4295.04s -> 4296.44s]  And that's what I think this is.
[4296.44s -> 4299.20s]  And I think that's what Malcolm and the whole camp by Cole studios brand is
[4299.20s -> 4303.88s]  about is like, he wants to support you wants to, you know, get some money in
[4303.88s -> 4307.80s]  your pocket, you know, get your, your name and likeness out there.
[4307.80s -> 4311.92s]  And so, I mean, I think that's the most genuine way to do it.
[4311.96s -> 4314.52s]  Genuine way to kind of crowdsource things.
[4314.52s -> 4317.08s]  And yeah, I know it's going to be sick once, once it's out there.
[4317.08s -> 4322.12s]  So we'll definitely be putting some more images and everything out there and links.
[4322.20s -> 4325.28s]  So everybody at the podcast can get out there and get themselves some
[4325.28s -> 4327.08s]  of the Johnny Ramos merch.
[4328.44s -> 4332.28s]  That's a crazy phrase I hear, you know, I never thought that
[4332.28s -> 4333.08s]  that was going to be a thing.
[4333.56s -> 4333.80s]  Right.
[4333.80s -> 4336.52s]  I'm super grateful for Malcolm and like, I love his products.
[4336.52s -> 4340.36s]  Like I love like the socks, dude, those socks are so comfortable, man.
[4340.40s -> 4342.88s]  Like great, like such a cool guy.
[4342.88s -> 4347.92s]  Like, yeah, I'm, I'm beyond grateful for, for Malcolm to like agreeing to do this.
[4347.92s -> 4352.52s]  Like just like a, a Luigi looking character to message him on like Instagram.
[4352.52s -> 4355.00s]  He's probably like, who in the F is this guy?
[4355.00s -> 4358.96s]  Like, you know, like, so no, but he was a sweetheart about it for sure.
[4359.12s -> 4359.48s]  Right.
[4359.92s -> 4360.48s]  Sick man.
[4360.48s -> 4362.48s]  Well, we'll get out of here on that one.
[4362.52s -> 4364.20s]  Um, again, more links.
[4365.04s -> 4367.84s]  I don't think, yeah, Malcolm's ready to do the drop yet, but once it's out,
[4368.80s -> 4372.88s]  yeah, this will go out kind of time, right with the, the drop of the merch.
[4372.88s -> 4377.08s]  And yeah, we'll get you back on here after you, uh, you know, continue to do epic
[4377.08s -> 4380.64s]  things, so hopefully we'll have another conversation here soon.
[4381.12s -> 4381.52s]  Yeah.
[4381.56s -> 4384.60s]  I have a big project coming up in March.
[4384.64s -> 4385.00s]  So.
[4385.56s -> 4386.04s]  Awesome.
[4386.16s -> 4388.24s]  Well, open invitation.
[4388.28s -> 4391.40s]  So we'll get things back on the calendar after the holidays and, uh, see what
[4391.40s -> 4392.44s]  you got cooking up next year.
[4393.08s -> 4395.04s]  So we, I appreciate you having me on Brian.
[4395.04s -> 4399.76s]  I know I'm genuinely a nobody, like literally nothing special.
[4399.76s -> 4403.16s]  I, and I tell my friends all the time, like if I could win a hundred mile or
[4403.16s -> 4409.60s]  they could like do whatever they like, um, um, even slightly below an average
[4409.60s -> 4414.80s]  human being, I am literally like the, the runt of everything.
[4414.80s -> 4416.84s]  So like, yeah, I'm nothing special.
[4417.44s -> 4418.00s]  It's all good, man.
[4418.00s -> 4419.08s]  The runs get the most love.
[4419.08s -> 4420.32s]  So embrace it.
[4421.24s -> 4421.60s]  Yeah.
[4421.76s -> 4422.32s]  All right, man.
[4422.68s -> 4423.24s]  Have a good one.
[4423.80s -> 4424.04s]  All right.
[4424.04s -> 4424.52s]  I love you, Brian.
[4425.44s -> 4426.12s]  I'll catch you later.
[4426.76s -> 4427.00s]  Yep.
